timestamp,scintillator,rate_per_min,total_hits
2026-06-11T05:40:00+00:00,Scintillator 4,1104.8,847094
2026-06-11T05:50:00+00:00,Scintillator 1,1233.0,1002653
2026-06-11T05:50:00+00:00,Scintillator 2,1277.3,981088
2026-06-11T05:50:00+00:00,Scintillator 3,1247.9,956584
2026-06-11T05:50:00+00:00,Scintillator 4,1128.1,858375
2026-06-11T06:00:00+00:00,Scintillator 1,1216.8,1014821
2026-06-11T06:00:00+00:00,Scintillator 2,1251.9,993607
2026-06-11T06:00:00+00:00,Scintillator 3,1212.8,968712
2026-06-11T06:00:00+00:00,Scintillator 4,1092.1,869296
2026-06-11T06:10:00+00:00,Scintillator 1,1236.1,1027182
2026-06-11T06:10:00+00:00,Scintillator 2,1278.0,1006387
2026-06-11T06:10:00+00:00,Scintillator 3,1243.1,981143
2026-06-11T06:10:00+00:00,Scintillator 4,1120.8,880504
2026-06-11T06:20:00+00:00,Scintillator 1,1244.3,1039625
2026-06-11T06:20:00+00:00,Scintillator 2,1285.1,1019238
2026-06-11T06:20:00+00:00,Scintillator 3,1250.7,993650
2026-06-11T06:20:00+00:00,Scintillator 4,1119.9,891703
2026-06-11T06:30:00+00:00,Scintillator 1,1250.4,1052129
2026-06-11T06:30:00+00:00,Scintillator 2,1295.1,1032189
2026-06-11T06:30:00+00:00,Scintillator 3,1257.6,1006226
2026-06-11T06:30:00+00:00,Scintillator 4,1138.5,903088
2026-06-11T06:40:00+00:00,Scintillator 1,1235.7,1064486
2026-06-11T06:40:00+00:00,Scintillator 2,1281.7,1045006
2026-06-11T06:40:00+00:00,Scintillator 3,1249.4,1018720
2026-06-11T06:40:00+00:00,Scintillator 4,1126.7,914355
2026-06-11T06:50:00+00:00,Scintillator 1,1268.9,1077175
2026-06-11T06:50:00+00:00,Scintillator 2,1315.2,1058158
2026-06-11T06:50:00+00:00,Scintillator 3,1281.6,1031536
2026-06-11T06:50:00+00:00,Scintillator 4,1159.1,925946
2026-06-11T07:00:00+00:00,Scintillator 1,1249.8,1089673
2026-06-11T07:00:00+00:00,Scintillator 2,1301.6,1071174
2026-06-11T07:00:00+00:00,Scintillator 3,1274.6,1044282
2026-06-11T07:00:00+00:00,Scintillator 4,1155.6,937502
2026-06-11T07:10:00+00:00,Scintillator 1,1275.1,1102424
2026-06-11T07:10:00+00:00,Scintillator 2,1312.2,1084296
2026-06-11T07:10:00+00:00,Scintillator 3,1279.0,1057072
2026-06-11T07:10:00+00:00,Scintillator 4,1145.3,948955
2026-06-11T07:20:00+00:00,Scintillator 1,1245.5,1114879
2026-06-11T07:20:00+00:00,Scintillator 2,1284.5,1097141
2026-06-11T07:20:00+00:00,Scintillator 3,1255.0,1069622
2026-06-11T07:20:00+00:00,Scintillator 4,1134.1,960296
2026-06-11T07:30:00+00:00,Scintillator 1,1259.8,1127477
2026-06-11T07:30:00+00:00,Scintillator 2,1292.1,1110062
2026-06-11T07:30:00+00:00,Scintillator 3,1261.0,1082232
2026-06-11T07:30:00+00:00,Scintillator 4,1140.9,971705
2026-06-11T07:40:00+00:00,Scintillator 1,1286.0,1140337
2026-06-11T07:40:00+00:00,Scintillator 2,1333.8,1123400
2026-06-11T07:40:00+00:00,Scintillator 3,1296.9,1095201
2026-06-11T07:40:00+00:00,Scintillator 4,1161.9,983324
2026-06-11T07:50:00+00:00,Scintillator 1,1257.1,1152908
2026-06-11T07:50:00+00:00,Scintillator 2,1313.8,1136538
2026-06-11T07:50:00+00:00,Scintillator 3,1274.6,1107947
2026-06-11T07:50:00+00:00,Scintillator 4,1150.1,994825
2026-06-11T08:00:00+00:00,Scintillator 1,1240.9,1165317
2026-06-11T08:00:00+00:00,Scintillator 2,1293.3,1149471
2026-06-11T08:00:00+00:00,Scintillator 3,1263.9,1120586
2026-06-11T08:00:00+00:00,Scintillator 4,1146.2,1006287
2026-06-11T08:10:00+00:00,Scintillator 1,1256.6,1177883
2026-06-11T08:10:00+00:00,Scintillator 2,1308.8,1162559
2026-06-11T08:10:00+00:00,Scintillator 3,1279.8,1133384
2026-06-11T08:10:00+00:00,Scintillator 4,1152.1,1017808
2026-06-11T08:20:00+00:00,Scintillator 1,1223.1,1190114
2026-06-11T08:20:00+00:00,Scintillator 2,1283.3,1175392
2026-06-11T08:20:00+00:00,Scintillator 3,1249.2,1145876
2026-06-11T08:20:00+00:00,Scintillator 4,1123.0,1029038
2026-06-11T08:30:00+00:00,Scintillator 1,1221.5,1202329
2026-06-11T08:30:00+00:00,Scintillator 2,1276.3,1188155
2026-06-11T08:30:00+00:00,Scintillator 3,1253.8,1158414
2026-06-11T08:30:00+00:00,Scintillator 4,1125.7,1040295
2026-06-11T08:40:00+00:00,Scintillator 1,1250.2,1214831
2026-06-11T08:40:00+00:00,Scintillator 2,1307.5,1201230
2026-06-11T08:40:00+00:00,Scintillator 3,1273.7,1171151
2026-06-11T08:40:00+00:00,Scintillator 4,1152.0,1051815
2026-06-11T08:50:00+00:00,Scintillator 1,1229.8,1227129
2026-06-11T08:50:00+00:00,Scintillator 2,1292.0,1214150
2026-06-11T08:50:00+00:00,Scintillator 3,1260.5,1183756
2026-06-11T08:50:00+00:00,Scintillator 4,1137.3,1063188
2026-06-11T09:00:00+00:00,Scintillator 1,1193.9,1239068
2026-06-11T09:00:00+00:00,Scintillator 2,1250.3,1226653
2026-06-11T09:00:00+00:00,Scintillator 3,1217.6,1195932
2026-06-11T09:00:00+00:00,Scintillator 4,1105.4,1074242
2026-06-11T09:10:00+00:00,Scintillator 1,1207.7,1251145
2026-06-11T09:10:00+00:00,Scintillator 2,1266.8,1239321
2026-06-11T09:10:00+00:00,Scintillator 3,1235.8,1208290
2026-06-11T09:10:00+00:00,Scintillator 4,1109.5,1085337
2026-06-11T09:20:00+00:00,Scintillator 1,1218.6,1263331
2026-06-11T09:20:00+00:00,Scintillator 2,1292.3,1252244
2026-06-11T09:20:00+00:00,Scintillator 3,1264.2,1220932
2026-06-11T09:20:00+00:00,Scintillator 4,1138.2,1096719
2026-06-11T09:30:00+00:00,Scintillator 1,1222.1,1275552
2026-06-11T09:30:00+00:00,Scintillator 2,1289.7,1265141
2026-06-11T09:30:00+00:00,Scintillator 3,1261.0,1233542
2026-06-11T09:30:00+00:00,Scintillator 4,1142.6,1108145
2026-06-11T09:40:00+00:00,Scintillator 1,1223.9,1287791
2026-06-11T09:40:00+00:00,Scintillator 2,1299.7,1278138
2026-06-11T09:40:00+00:00,Scintillator 3,1262.6,1246168
2026-06-11T09:40:00+00:00,Scintillator 4,1138.3,1119528
2026-06-11T09:50:00+00:00,Scintillator 1,1191.6,1299707
2026-06-11T09:50:00+00:00,Scintillator 2,1261.0,1290748
2026-06-11T09:50:00+00:00,Scintillator 3,1231.6,1258484
2026-06-11T09:50:00+00:00,Scintillator 4,1114.4,1130672
2026-06-11T10:00:00+00:00,Scintillator 1,1213.9,1311846
2026-06-11T10:00:00+00:00,Scintillator 2,1288.7,1303635
2026-06-11T10:00:00+00:00,Scintillator 3,1253.0,1271014
2026-06-11T10:00:00+00:00,Scintillator 4,1133.5,1142007
2026-06-11T10:10:00+00:00,Scintillator 1,1232.1,1324167
2026-06-11T10:10:00+00:00,Scintillator 2,1308.5,1316720
2026-06-11T10:10:00+00:00,Scintillator 3,1268.9,1283703
2026-06-11T10:10:00+00:00,Scintillator 4,1150.8,1153515
2026-06-11T10:20:00+00:00,Scintillator 1,1239.9,1336566
2026-06-11T10:20:00+00:00,Scintillator 2,1314.3,1329863
2026-06-11T10:20:00+00:00,Scintillator 3,1277.2,1296475
2026-06-11T10:20:00+00:00,Scintillator 4,1152.6,1165041
2026-06-11T10:30:00+00:00,Scintillator 1,1203.7,1348603
2026-06-11T10:30:00+00:00,Scintillator 2,1276.0,1342623
