timestamp,multiplicity,observed_count,rate_per_min,random_expected_count
2026-06-11T16:00:00+00:00,3,5104,510.4,2.29e-05
2026-06-11T16:00:00+00:00,4,3224,322.4,0.0
2026-06-11T16:10:00+00:00,2,7169,716.9,1.62695828
2026-06-11T16:10:00+00:00,3,5092,509.2,2.3e-05
2026-06-11T16:10:00+00:00,4,3292,329.2,0.0
2026-06-11T16:20:00+00:00,2,7084,708.4,1.62258259
2026-06-11T16:20:00+00:00,3,5109,510.9,2.291e-05
2026-06-11T16:20:00+00:00,4,3285,328.5,0.0
2026-06-11T16:30:00+00:00,2,6948,694.8,1.57546924
2026-06-11T16:30:00+00:00,3,5134,513.4,2.191e-05
2026-06-11T16:30:00+00:00,4,3134,313.4,0.0
2026-06-11T16:40:00+00:00,2,7250,725.0,1.64563495
2026-06-11T16:40:00+00:00,3,5136,513.6,2.339e-05
2026-06-11T16:40:00+00:00,4,3249,324.9,0.0
2026-06-11T16:50:00+00:00,2,7065,706.5,1.66358731
2026-06-11T16:50:00+00:00,3,5199,519.9,2.378e-05
2026-06-11T16:50:00+00:00,4,3339,333.9,0.0
2026-06-11T17:00:00+00:00,2,7092,709.2,1.65573931
2026-06-11T17:00:00+00:00,3,5159,515.9,2.361e-05
2026-06-11T17:00:00+00:00,4,3314,331.4,0.0
2026-06-11T17:10:00+00:00,2,7280,728.0,1.66161718
2026-06-11T17:10:00+00:00,3,5152,515.2,2.373e-05
2026-06-11T17:10:00+00:00,4,3268,326.8,0.0
2026-06-11T17:20:00+00:00,2,7322,732.2,1.70891354
2026-06-11T17:20:00+00:00,3,5290,529.0,2.476e-05
